# Impact Craters on Rhea
# Longitude(W) Latitude(N) Diameter(km) Name
160.32	17.74	73.43	
308.24	-23.50	73.18	Leza
12.90	7.36	72.05	Haoso
96.77	11.87	71.73	
270.16	-1.17	71.66	Obatala
154.74	40.13	71.61	Juok
242.47	-25.11	71.51	Nareau
81.67	-18.37	71.11	
116.91	-51.90	70.75	
188.59	67.31	70.72	
73.58	44.19	70.46	
51.33	27.23	69.90	
187.88	53.18	69.77	Huracan
94.11	24.97	69.61	
79.60	49.80	69.53	Yu-Ti
102.51	-13.69	68.56	
131.42	-0.15	68.22	Mumbi
265.44	-63.66	68.00	
240.96	-78.26	67.73	Tuwale
202.59	0.48	67.62	Amotken
1.35	-46.90	67.53	Atum
38.72	-63.35	66.89	Kanobo
121.81	-46.77	66.79	
157.86	58.96	66.71	Tulpar
237.11	42.57	66.70	
191.57	1.92	66.16	
28.03	4.96	66.16	
225.96	-56.78	66.06	Wende
109.49	-29.33	65.10	
353.59	-41.79	64.98	
264.35	-39.73	64.65	
79.96	45.75	63.94	
43.48	-1.78	63.75	
193.96	29.83	63.68	Wak
54.37	21.88	63.56	
114.15	45.64	63.50	Faro
9.95	-30.84	63.03	
90.97	-19.30	62.46	
169.60	-32.90	62.45	
117.03	44.16	62.29	
251.48	-36.50	62.29	Lowalangi
115.38	18.99	62.08	
84.52	24.38	62.06	Tika
162.42	-10.14	61.94	Gborogboro
83.11	57.84	61.70	
341.61	64.89	61.69	
263.54	-53.63	61.45	
335.68	-49.25	61.05	
44.61	21.84	60.75	
7.68	-24.25	60.68	
8.69	12.83	60.35	
128.70	-28.72	60.26	
293.32	31.96	60.17	
56.00	3.45	60.00	Xowalaci
57.23	13.78	59.82	
20.38	5.55	59.80	Karora
113.75	-38.16	59.01	Kurkyl
24.32	-75.62	58.83	
141.30	25.12	58.80	
346.74	25.88	58.48	Nainema
43.71	0.22	58.13	
192.68	-52.62	57.86	Gmerti
101.29	-33.94	57.84	
175.55	20.51	57.56	Tawa
210.31	-69.01	57.29	
92.38	4.27	57.00	
195.13	-20.54	57.00	Utleygon
311.53	-62.04	56.71	
124.28	-3.87	56.58	Fuxi
65.71	62.95	56.48	Agunua
95.93	16.07	56.35	Taaroa
201.31	-29.41	56.06	
46.97	-20.76	56.02	
121.16	-39.14	55.76	
33.49	46.62	55.64	
108.28	-5.41	55.52	
70.39	28.69	55.47	
10.86	-27.74	55.40	
347.14	-57.28	55.26	
210.89	-13.15	55.20	
140.45	27.65	55.11	
242.75	46.83	55.05	Luli
347.00	34.18	54.85	
38.35	-21.13	54.79	
145.46	-65.67	54.72	
69.27	54.24	54.69	Xu
53.59	-13.33	54.57	
90.52	78.17	54.22	Uku
347.05	11.37	54.18	Sholmo
340.60	34.36	54.17	Aananin
146.69	-52.51	54.03	Singbonga
105.78	-15.24	54.01	Chingaso
246.57	38.20	53.82	Enkai
134.56	60.74	53.80	Lumawig
54.24	38.03	53.50	
252.98	-53.63	53.47	
114.43	67.48	53.46	Whanin
56.66	-58.17	53.33	Tasheting
130.48	74.25	53.27	
93.94	-63.23	53.07	
154.99	27.67	53.05	Olorun
284.92	-16.85	53.04	Pouliuli
96.24	-4.20	52.84	
189.90	25.71	52.61	Anguta
68.21	-22.45	52.52	
21.54	45.46	52.50	Thunupa
129.00	68.17	52.37	
111.02	39.88	52.35	Iraca
277.73	10.30	52.34	Kuma
346.52	-42.31	52.15	
359.51	40.64	51.95	Khado
349.99	-41.24	51.91	
327.73	9.13	51.81	Kumpara
203.48	20.58	51.76	
122.06	71.38	51.74	
57.57	-34.05	51.47	Glooskap
302.04	-1.94	51.46	Inmar
116.90	-59.80	51.43	
