Wendla,22.52,207.628,5.7,p,S,6051.814,33,30N207,"64,"
Annia Faustina,22.075,4.705,23.4,p,P,6051.811,"14,116",15N009,"56,"
Karo,21.9,37.2,7,p,S,6051.962,57,15N043,"57,"
Tussaud,21.726,220.957,16,p,I,6051.608,34,15N215,"65,"
du Chatelet,21.5,165,18.5,p,*,6051.655,31,15N163,
Callirhoe,21.229,140.685,33.8,p,P,6051.477,"22,116",15N146,
Tekarohi,21.223,76.483,9.3,p,P,6051.697,"19,78,113",15N077,"59,"
Yazruk,21.193,160.223,10.4,p,M,6051.04,"31,99",15N163,
Bourke-White,21.167,147.931,33.6,p,P,6050.771,"22,116",15N146,
Kiris,20.9,98.8,13.3,p,S,6051.59,"19,112,89,115",15N095,
Puhioia,20.6,69.4,5.5,p,M,6051.06,"16,114;19",15N060;15N077,"58,"
,20.6,245.638,17.9,p,M,,41,15N249,
Gulchatay,20.55,295.5,9,vm?,M,6052.034,47,15N300,68
Parra,20.49,78.481,42.4,p,P,6052.251,"19,78,113",15N077,"59,"
de Lalande,20.455,354.993,21.3,p,P,6052.958,"2,88",15N352,70
Veriko,20.4,350.1,5.2,p,M,6052.255,"2,88",15N352,70
Aurelia,20.262,331.812,31.1,p,P,6050.54,"2,57,89,100",15N335,114
Sheila,19.957,50.206,5.6,p,S,6051.778,"57,113",15N043,"58,"
Marere,19.561,65.778,6.3,p,Ic,6051.111,"16,92,114",15N060,"58,"
Johanna,19.5,247.3,15.1,p,I,6051.433,41,15N249,"66,"
Esther,19.369,21.812,17.6,p,I,6051.773,"12,112,115",15N026,"56,"
Weil,19.359,283.127,24.2,p,P,6054.8,43,15N283,

Centlivre,19.069,290.397,28.8,p,P,6052.313,43,15N283,68
Himiko,18.992,124.256,36.6,p,P,6051.46,20,15N129,
Faufau,18.756,8.335,7.8,p,S,6051.289,"14,116",15N009,"56,"
Shih Mai-Yu,18.432,318.919,22.3,p,P,6051.135,"48,99",15N317,114
Domnika,18.4,294.3,6.7,p,I,6052.032,47,15N300,68
Zulfiya,18.4,101.9,12.9,p,Sc?,6051.698,"19,112,89,115",15N095,
Olesnicka,18.306,210.9,33,vh2,P,6052.862,34,15N215,"64,"
Escoda,18.178,149.469,19.6,p,"S,F",6051.158,"22,116",15N146,
Seymour,18.16,326.482,63,p,D,6051.006,"48,99;2,57,89,100",15N317;15N335,69
Baranamtarra,17.944,267.801,25.5,vh3,P,6053.137,41,15N266,
Hannah,17.9,102.6,19.8,p,P,6051.5,"19,112,89,115;20,97,61",15N095;15N112,
Montez,17.9,266.5,21.1,p,P,6053.342,41,15N266,
Gaze,17.888,240.216,33.3,f2,P,6051.477,37;249,15N232;15N249,"66,"
Vard,17.516,314.542,6.1,vm,P,6051.246,"48,99",15N317,69
Caccini,17.427,170.435,38.1,p,P,6051.476,"31,99",15N163,"63,"
Wilder,17.39,122.559,35.1,p,P,6052.26,"20,112",15N129,
Vigier Lebrun,17.311,141.382,57.8,p,D,6051.291,"22,116",15N146,
Mosaido,17.3,75.2,7.4,p,S,6051.488,"19,78,113",15N077,"59,"
Grimke,17.237,215.34,34.8,f2,P,6051.942,34,15N215,"64,"
Ban Zhao,17.143,146.962,39,p,P,6050.789,"22,116",15N146,
Nyal'ga,17.039,64.521,5.5,p,I,6051.459,"16,92,114",15N060,"58,"
Zarema,16.8,235.25,5,p,M,6053.332,37,15N232,"65,"
Neda,16.708,313.515,7.7,p,Sc,6051.372,48,15N317,69
Sitwell,16.635,190.402,32.8,p,P,6053.459,33,15N197,"63,"
Wheatley,16.617,268.033,74.8,f1,D,6052.351,41,15N226,
Barrera,16.564,109.419,27,p,P,6051.592,"20,97,61",15N112,
Bradstreet,16.512,47.693,36,p,P,6052.613,"57,113",15N043,"57,"
Vasilutsa,16.5,334.4,5.7,p,I,6050.524,"2,57,89,100",15N335,69
Enid,16.4,352.1,9.2,p,Ic,6051.977,"2,88",15N352,70
Aimee,16.1,127.2,17,p,P,6051.13,"20,112",15N129,
Ninzi,15.9,331.7,7.1,p,Ic,6050.484,"2,57,89,100",15N335,69
Ferrier,15.742,111.317,29.1,p,P,6051.852,"20,97,61",15N112,
Jasmin,15.6,61.57,15.6,vh2,P,,114,15N060,
